file_name,clean,noise,snr
0001.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/boy1/boy1_papercup_clean_001.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/noisex92_16k/babble.wav,2.49080237694725
0002.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/boy1/boy1_papercup_clean_002.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/noisex92_16k/f16.wav,14.014286128198322
0003.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/boy1/boy1_papercup_clean_003.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/noisex92_16k/factory1.wav,9.639878836228101
0004.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/boy1/boy1_papercup_clean_004.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/noisex92_16k/leopard.wav,6.973169683940732
0005.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/boy1/boy1_papercup_clean_005.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/noisex92_16k/pink.wav,-1.8796271911512696
0006.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/boy1/boy1_papercup_clean_006.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/noisex92_16k/volvo.wav,-1.880109593275947
0007.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/boy1/boy1_papercup_clean_007.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/noisex92_16k/white.wav,-3.838327756636011
0008.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/boy1/boy1_papercup_clean_008.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/noisex92_16k/babble.wav,12.323522915498703
0009.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/boy1/boy1_papercup_clean_009.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/noisex92_16k/f16.wav,7.022300234864176
0010.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/boy1/boy1_papercup_clean_010.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/noisex92_16k/factory1.wav,9.161451555920909
0011.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/boy1/boy1_papercup_clean_011.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/noisex92_16k/leopard.wav,-4.588310114083951
0012.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/boy1/boy1_papercup_clean_012.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/noisex92_16k/pink.wav,14.398197043239886
